way_id,building,building:levels,height
176986542,yes,2,-
176986543,yes,2,-
176986544,yes,2,-
176987092,apartments,4,-
176987094,apartments,8,-
176987096,yes,2,-
176987097,apartments,8,-
176987099,yes,2,-
176987101,detached,2,-
176987104,yes,2,-
176987106,yes,2,-
176987109,yes,2,-
176987111,yes,2,-
176987112,apartments,4,-
176987113,apartments,16,-
176987114,apartments,6,-
176987115,yes,2,-
176987117,yes,2,-
176987118,apartments,6,-
176987119,commercial,8,-
176987121,yes,2,-
176987125,commercial,6,-
176987126,apartments,4,-
176987127,apartments,4,-
176988394,school,4,-
176988395,commercial,4,-
176988396,apartments,7,-
176988397,apartments,7,-
176988400,apartments,4,-
176988401,apartments,12,-
176988402,apartments,5,-
176988403,yes,2,-
176988404,apartments,8,-
176988405,apartments,7,-
176988409,apartments,6,-
176988414,apartments,8,-
176988416,yes,2,-
176988422,apartments,4,-
176988423,apartments,4,-
176988425,apartments,7,-
177977920,retail,3,-
184070034,apartments,26,-
185100700,commercial,3,-
185100701,commercial,3,-
196694746,yes,2,-
207658125,public,1,-
210822152,apartments,4,-
210822153,apartments,7,-
210822159,apartments,8,-
210822160,apartments,4,-
210822163,hotel,3,-
210822169,apartments,19,-
210822170,apartments,5,-
210822171,apartments,4,-
210822172,apartments,23,-
210822179,apartments,7,-
210822182,yes,2,-
210822187,apartments,7,-
210822190,apartments,4,-
210822191,apartments,5,-
210822192,apartments,4,-
210822193,apartments,7,-
210824452,apartments,4,-
210824453,apartments,11,-
210824457,apartments,4,-
210824460,apartments,5,-
210824461,apartments,4,-
210824462,apartments,4,-
220656244,apartments,20,-
223928006,apartments,4,-
223928007,apartments,4,-
223928008,apartments,4,-
223928009,apartments,4,-
223928010,apartments,4,-
223928011,apartments,4,-
223928012,apartments,4,-
223928013,apartments,4,-
223928272,apartments,4,-
223928273,apartments,4,-
223928274,apartments,4,-
223928275,apartments,4,-
223928276,apartments,4,-
223928278,apartments,4,-
223928279,apartments,4,-
223928280,apartments,4,-
223928281,apartments,4,-
223928282,apartments,4,-
223928283,apartments,4,-
223928284,apartments,4,-
223928287,apartments,4,-
223928292,apartments,4,-
223928299,apartments,4,-
223928300,apartments,4,-
223928301,apartments,4,-
223928303,apartments,4,-
227665281,yes,2,-
227665285,yes,2,-
234156283,university,7,-
234156363,university,8,-
242089302,apartments,8,-
242089304,apartments,14,-
242089306,apartments,17,-
242089307,apartments,29,-
242089308,apartments,7,-
242089312,apartments,27,-
242541732,supermarket,1,-
243113719,yes,1,-
243179882,hospital,2,-
245861179,yes,1,-
251075524,apartments,6,-
251075525,apartments,6,-
251075526,apartments,6,-
251075527,apartments,6,-
251075530,apartments,6,-
251075531,apartments,6,-
251075534,apartments,6,-
251075535,apartments,6,-
251075536,apartments,6,-
251075539,apartments,6,-
251075541,apartments,6,-
251075741,apartments,4,-
251075742,apartments,4,-
251075743,apartments,4,-
251075744,apartments,4,-
251075745,apartments,4,-
251075746,apartments,4,-
251075747,apartments,4,-
251075748,apartments,4,-
251075749,apartments,4,-
251075750,apartments,4,-
251075751,apartments,4,-
251075752,apartments,4,-
251075753,apartments,4,-
251075754,apartments,4,-
251075755,apartments,4,-
251075756,apartments,4,-
251075757,apartments,4,-
264244621,apartments,27,-
266486739,yes,1,-
266486748,apartments,30,-
266489636,yes,18,-
266489641,yes,18,-
266497120,apartments,12,-
266497121,apartments,15,-
266497122,yes,4,12
266499083,yes,3,-
267740408,yes,3,-
274203644,yes,1,-
274203650,yes,1,-
274294199,yes,2,-
274294994,yes,2,-
274296805,yes,1,-
274297345,residential,5,-
274311567,yes,3,-
274334788,apartments,8,-
274342955,yes,1,-
274362918,yes,5,-
274365112,yes,1,-
274365114,yes,1,-
274365115,yes,1,-
274365117,yes,1,-
274365118,yes,1,-
274365119,yes,1,-
274365122,yes,1,-
274365124,yes,1,-
274365125,yes,1,-
274365127,yes,1,-
274365128,yes,1,-
274365130,yes,1,-
274365131,yes,1,-
274365132,yes,1,-
274365133,yes,1,-
274365134,yes,1,-
274365136,yes,1,-
274365397,apartments,15,-
